epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2662186324596405,0.0010000000474974513,0.7719506621360779,0.12972292304039001,0.9218313097953796
1,0.3902455270290375,0.0009984602220356464,0.6304333806037903,0.6191436052322388,0.7527537941932678
2,0.39996007084846497,0.0009938502917066216,0.6154193878173828,0.6536523699760437,0.5520169734954834
3,0.3990950882434845,0.0009861987782642245,0.60795658826828,0.1843828707933426,0.7176452279090881
4,0.4054827392101288,0.0009755527134984732,0.6001313328742981,0.5942065715789795,0.6108489632606506
5,0.4364229142665863,0.0009619778138585389,0.5920959115028381,0.5775818824768066,0.5142210721969604
6,0.4154634475708008,0.0009455577819608152,0.58466637134552,0.30403023958206177,0.5629922747612
7,0.4416794180870056,0.0009263937827199697,0.5819704532623291,0.2209067940711975,0.530406653881073
8,0.4577816128730774,0.0009046039776876569,0.5830540060997009,0.5722922086715698,0.513213038444519
9,0.47521457076072693,0.0008803227683529258,0.5740559697151184,0.5838791131973267,0.514170229434967
10,0.5054894089698792,0.0008536998648196459,0.5631189346313477,0.5788413286209106,0.5085251331329346
