accuracy,loss,val_accuracy,val_loss,learning_rate
0.5535987019538879,1.3245381116867065,0.6380132436752319,0.9435681104660034,0.0010000000474974513
0.6423644423484802,1.0629453659057617,0.7491390705108643,0.7047321796417236,0.0010000000474974513
0.6826483011245728,0.9547359347343445,0.7268874049186707,0.7349157333374023,0.0010000000474974513
0.7060270309448242,0.877772331237793,0.756423830986023,0.677970290184021,0.0010000000474974513
0.7296319603919983,0.7988336682319641,0.7845033407211304,0.6188956499099731,0.0010000000474974513
0.7464239001274109,0.7641409039497375,0.7822516560554504,0.6199299097061157,0.0010000000474974513
0.7569401264190674,0.7071691751480103,0.735629141330719,0.7207079529762268,0.0010000000474974513
0.7721490263938904,0.6686817407608032,0.7666225433349609,0.6186244487762451,0.0010000000474974513
0.7804884910583496,0.6363831758499146,0.7858278155326843,0.5838257074356079,0.0010000000474974513
0.7879233360290527,0.6107434630393982,0.7947019934654236,0.555576503276825,0.0010000000474974513
0.7954995036125183,0.5783011317253113,0.8087417483329773,0.5227986574172974,0.0010000000474974513
0.8012664914131165,0.5600893497467041,0.8018543124198914,0.5620893836021423,0.0010000000474974513
0.8097472786903381,0.5356026887893677,0.8034437298774719,0.5420870780944824,0.0010000000474974513
0.8167863488197327,0.5088891983032227,0.8246357440948486,0.48830267786979675,0.0010000000474974513
0.8178888559341431,0.5023789405822754,0.8071523308753967,0.5410027503967285,0.0010000000474974513
0.826680600643158,0.474653035402298,0.8029139041900635,0.5491408109664917,0.0010000000474974513
0.8320518136024475,0.4549099802970886,0.8225165605545044,0.5053444504737854,0.0010000000474974513
0.8616215586662292,0.36012470722198486,0.8500662446022034,0.4357253313064575,0.00020000000949949026
0.8724769353866577,0.3261364996433258,0.8544371128082275,0.4428289532661438,0.00020000000949949026
0.880222737789154,0.30570900440216064,0.8626490235328674,0.42702773213386536,0.00020000000949949026
0.88214510679245,0.28807753324508667,0.8623840808868408,0.44134530425071716,0.00020000000949949026
0.8882512450218201,0.27158474922180176,0.8652980327606201,0.44448959827423096,0.00020000000949949026
0.8908520340919495,0.26074647903442383,0.8703311085700989,0.43256083130836487,0.00020000000949949026
0.899869978427887,0.24150702357292175,0.8695363998413086,0.4342080354690552,4.0000002627493814e-05
0.9036580324172974,0.22624389827251434,0.8692715167999268,0.4406900405883789,4.0000002627493814e-05
0.9046474695205688,0.22174672782421112,0.8709933757781982,0.43888571858406067,4.0000002627493814e-05
0.9084638357162476,0.2195613831281662,0.8709933757781982,0.44167813658714294,8.000000889296643e-06
0.9087465405464172,0.21130609512329102,0.8704635500907898,0.4438740611076355,8.000000889296643e-06
0.9071351885795593,0.21288757026195526,0.8707284927368164,0.4415864646434784,8.000000889296643e-06
0.9098773002624512,0.21277567744255066,0.8712582588195801,0.44309794902801514,1.6000001323845936e-06
0.909933865070343,0.20899611711502075,0.8698013424873352,0.44457879662513733,1.6000001323845936e-06
0.910584032535553,0.21529872715473175,0.8696689009666443,0.4460776150226593,1.6000001323845936e-06
