epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.257999986410141,0.0010000000474974513,1.101164698600769,0.5738524794578552,0.8739035129547119
1,0.3140000104904175,0.0009984602220356464,0.9148871898651123,0.488328754901886,0.8738009333610535
2,0.3375000059604645,0.0009938502917066216,0.8585708141326904,0.5293252468109131,0.7381438612937927
3,0.3564000129699707,0.0009861987782642245,0.8156788349151611,0.4854845106601715,0.7772039175033569
4,0.38839998841285706,0.0009755527134984732,0.7922112941741943,0.6317183375358582,0.5863938927650452
5,0.4034999907016754,0.0009619778138585389,0.7517895698547363,0.5434483885765076,0.6098310947418213
6,0.44589999318122864,0.0009455577819608152,0.7041618824005127,0.5616908669471741,0.5769321918487549
7,0.4733000099658966,0.0009263937827199697,0.6699250340461731,0.5087289214134216,0.7953944206237793
8,0.48840001225471497,0.0009046039776876569,0.6414331793785095,0.5034326910972595,0.578635573387146
9,0.4943000078201294,0.0008803227683529258,0.6264214515686035,0.4884268343448639,0.6298083066940308
10,0.5099999904632568,0.0008536998648196459,0.609865665435791,0.6123970150947571,0.5209968686103821
11,0.5149999856948853,0.0008248992962762713,0.5933881402015686,0.7006669044494629,0.4206524193286896
12,0.5281999707221985,0.0007940987125039101,0.5737125873565674,0.5482541918754578,0.6109257340431213
13,0.5322999954223633,0.0007614880451001227,0.5713687539100647,0.6788936853408813,0.4539107084274292
14,0.5425999760627747,0.0007272682269103825,0.5584383010864258,0.623577892780304,0.5445849895477295
15,0.5508000254631042,0.0006916503771208227,0.5461286902427673,0.6386818289756775,0.46356621384620667
16,0.5554999709129333,0.0006548539968207479,0.5378961563110352,0.6940957307815552,0.39246612787246704
17,0.5723999738693237,0.0006171059794723988,0.5225896239280701,0.6672224402427673,0.4336307644844055
18,0.5837000012397766,0.0005786390393041074,0.5074506998062134,0.6339741349220276,0.46825411915779114
19,0.5917999744415283,0.0005396903143264353,0.49333852529525757,0.5962141752243042,0.4521019756793976
